Methods,Path,Request format,Response format
POST,/users,models.User,models.User
PUT,/users/change-password,BasicUser,ChangePasswordResponse | ResponseBase
PUT,/users/setup-mfa,SetupMFA,ResponseBase
POST,/users/login,BasicUser,LoginResponse
GET,/users/logout,request,ResponseBase
GET,/users/me,,UserResponse
POST,/users/forgot-password,ResetPassword,ResponseBase
GET,/users/{user_id},user_id,models.User
GET,/users,"sort_order, sort_field, page_size, page",UserListResponse
PUT,/users/{user_id},models.User,models.UserWithLender
POST,/applications/{id}/reject-application,LenderRejectedApplication,models.ApplicationWithRelations
POST,/applications/{id}/approve-application,LenderApprovedData,models.ApplicationWithRelations
PUT,/applications/{id}/verify-data-field,UpdateDataField,models.ApplicationWithRelations
PUT,/applications/documents/{document_id}/verify-document,VerifyBorrowerDocument,models.ApplicationWithRelations
PUT,/applications/{id}/award,AwardUpdate,models.ApplicationWithRelations
PUT,/applications/{id}/borrower,BorrowerUpdate,models.ApplicationWithRelations
GET,/applications/admin-list,"search_value, sort_order, sort_field, page_size, page",ApplicationListResponse
GET,/applications,"search_value, sort_order, sort_field, page_size, page",ApplicationListResponse
GET,/applications/id/{id},,models.ApplicationWithRelations
POST,/applications/{id}/start,id,models.ApplicationWithRelations
POST,/applications/email-sme/{id},ApplicationEmailBorrower,models.ApplicationWithRelations
GET,/applications/{id}/previous-awards,,list[models.Award]
GET,/applications/uuid/{uuid},,ApplicationResponse
POST,/applications/decline,ApplicationDeclinePayload,ApplicationResponse
POST,/applications/rollback-decline,ApplicationBase,ApplicationResponse
POST,/applications/decline-feedback,ApplicationDeclineFeedbackPayload,ApplicationResponse
POST,/applications/access-scheme,ApplicationBase,ApplicationResponse
POST,/applications/credit-product-options,ApplicationCreditOptions,CreditProductListResponse
POST,/applications/select-credit-product,ApplicationSelectCreditProduct,ApplicationResponse
POST,/applications/rollback-select-credit-product,ApplicationBase,ApplicationResponse
POST,/applications/confirm-credit-product,ApplicationBase,ApplicationResponse
POST,/applications/rollback-confirm-credit-product,ApplicationBase,ApplicationResponse
POST,/applications/submit,ApplicationBase,ApplicationResponse
POST,/applications/upload-document,"file, type, uuid",models.BorrowerDocumentBase
POST,/applications/complete-information-request,ApplicationBase,ApplicationResponse
POST,/applications/upload-contract,"file, uuid",models.BorrowerDocumentBase
POST,/applications/find-alternative-credit-option,ApplicationBase,ApplicationResponse
POST,/applications/change-email,ChangeEmail,parsers.ChangeEmail
POST,/applications/confirm-change-email,ConfirmNewEmail,parsers.ChangeEmail
GET,/meta,,"dict[str, list[dict[str, str]]]"
GET,/applications/documents/id/{document_id},document_id,
GET,/applications/{id}/download-application/{lang},lang,
GET,/applications/export/{lang},lang,
POST,/lenders,models.LenderCreate,models.Lender
POST,/lenders/{lender_id}/credit-products,models.CreditProduct,models.CreditProduct
GET,/lenders/{lender_id},lender_id,models.LenderWithRelations
PUT,/lenders/{lender_id},models.LenderBase,models.Lender
GET,/lenders,,LenderListResponse
GET,/procurement-categories,,list[str]
GET,/credit-products/{credit_product_id},credit_product_id,models.CreditProductWithLender
PUT,/credit-products/{credit_product_id},models.CreditProduct,models.CreditProduct
GET,/statistics-ocp,"custom_range, lender_id, final_date, initial_date",StatisticResponse
GET,/statistics-ocp/opt-in,,StatisticOptInResponse
GET,/statistics-fi,,StatisticResponse
